chunk_text,trial_id,condition,phase,status,enrollment,sponsor,interventions,start_year,completion_year
"NCT Number: NCT07414927. Study Title: A Clinical Study for the Efficacy and Safety of BL0020 Injection in Patients With Small Cell Lung Cancer Transformed From Non-Small Cell Lung Cancer Following EGFR TKI Therapy. Sponsor: Shanghai Best-Link Bioscience, LLC. Condition or Disease: Small Cell Carcinoma of Lung. Intervention or Drug or Treatment: DRUG: BL0020. Phase: PHASE1|PHASE2. Study Status: NOT_YET_RECRUITING. Enrollment: 48.0. Summary: The primary treatment option for non-small cell lung cancer (NSCLC) adenocarcinoma with activating epidermal growth factor receptor (EGFR) mutation is EGFR tyrosine kinase inhibitor (TKI). After a certain period of treatment with EGFR TKI, acquired resistance emerges most frequently with a secondary mutation, p.T790M, followed by MET amplification. Interestingly, up to 3-14% of patients experience histological transformation into small cell lung cancer (SCLC), which has an aggressive clinical course and a poor prognosis. The transformed SCLC retains the original EGFR mutation but significantly down regulates EGFR protein expression, eliminating its dependence on EGFR signaling while simultaneously acquiring a neuroendocrine phenotype. In nearly all cases, bi-allelic inactivation of both TP53 and RB1 is observed. However, little is known about the clinical outcomes of transformed SCLC, with limited studies arguing that their outcomes are similar to those of de novo SCLC, where the median overall survival is approximately 9 to 10 months after the transformation. At present, there is no standard treatment regimen for patients with SCLC transformed from NSCLC following EGFR TKI therapy. BL0020 is a polymer-drug conjugate consisting of Topoisomerase I inhibitor SN-38 (7-ethyl-10-hydroxycamptothecin) conjugated by a peptide linker",NCT07414927,Small Cell Carcinoma of Lung,PHASE1|PHASE2,NOT_YET_RECRUITING,48.0,"Shanghai Best-Link Bioscience, LLC",DRUG: BL0020,2026,2028
"treatment regimen for patients with SCLC transformed from NSCLC following EGFR TKI therapy. BL0020 is a polymer-drug conjugate consisting of Topoisomerase I inhibitor SN-38 (7-ethyl-10-hydroxycamptothecin) conjugated by a peptide linker to a PEG-modified poly(ε-L-lysine) polymer. In the ongoing first-in-human study of BL0020, significant efficacy has been observed with BL0020 monotherapy in SCLC patients who have relapsed or progressed following at least first-line platinum-based systemic treatment. Based on previous clinical and preclinical outcomes that show similar disease characteristics between SCLC transformed from NSCLC following EGFR TKI therapy and de novo SCLC, this study is designed to evaluate the clinical efficacy and safety of BL0020 in patients with transformed SCLC..",NCT07414927,Small Cell Carcinoma of Lung,PHASE1|PHASE2,NOT_YET_RECRUITING,48.0,"Shanghai Best-Link Bioscience, LLC",DRUG: BL0020,2026,2028
"NCT Number: NCT00351598. Study Title: Lung Tumour Volume Database. Sponsor: Trans Tasman Radiation Oncology Group. Condition or Disease: Non-Small Cell Lung Cancer. Intervention or Drug or Treatment: RADIATION: Definitive Radiotherapy. Phase: . Study Status: COMPLETED. Enrollment: 531.0. Summary: The main aim is to determine, in patients with locoregional, non-small cell lung cancer (NSCLC) treated by definitive radiotherapy, the influence on survival of the volume of primary tumour, as measured from CT imaging, after adjusting for the effect of the current TNM staging system and other known prognostic factors (especially ECOG performance and weight loss).. ",NCT00351598,Non-Small Cell Lung Cancer,,COMPLETED,531.0,Trans Tasman Radiation Oncology Group,RADIATION: Definitive Radiotherapy,1999,2012
"NCT Number: NCT04973293. Study Title: Preoperative Sintilimab Combined With Bevacizumab and Chemotherapy for Resectable Non-Small Cell Lung Cancer. Sponsor: Ruijin Hospital. Condition or Disease: Lung Neoplasm Malignant. Intervention or Drug or Treatment: DRUG: sintilimab|DRUG: bevacizumab. Phase: . Study Status: RECRUITING. Enrollment: 20.0. Summary: Neoadjuvant chemotherapy followed by surgery has been recommended as the standard treatment for locally advanced and resectable non-small cell lung cancer (NSCLC). However, its efficacy remains to be improved. Drugs targeting PD-1/PD-L1 pathway have been proven to be effective for late-stage NSCLC, and anti-angiogenesis agents targeting VEGF (bevacizumab) has also been used for the first line treatment of advanced or metastatic NSCLC. Therefore, we conduct this single-arm clinical trial, which aims to investigate the safety and feasibility of neoadjuvant sintilimab combined with bevacizumab and chemotherapy followed by surgery in treating locally advanced and resectable NSCLC.. ",NCT04973293,Lung Neoplasm Malignant,,RECRUITING,20.0,Ruijin Hospital,DRUG: sintilimab|DRUG: bevacizumab,2022,2025
"NCT Number: NCT02937402. Study Title: Bronchoscopy With Bronchoalveolar Lavage in Identifying Biomarkers of Response to Immune Checkpoint Inhibitors in Patients With Non-small Cell or Small Cell Lung Cancer. Sponsor: Vanderbilt-Ingram Cancer Center. Condition or Disease: Non-Small Cell Lung Carcinoma|Small Cell Lung Carcinoma. Intervention or Drug or Treatment: PROCEDURE: Bronchoscopy with Bronchoalveolar Lavage|OTHER: Laboratory Biomarker Analysis. Phase: . Study Status: TERMINATED. Enrollment: 9.0. Summary: This pilot clinical trial studies how well bronchoscopy with bronchoalveolar lavage works in identifying biomarkers of response to immune checkpoint inhibitors in patients with non-small cell or small cell lung cancer. Bronchoscopy uses a thin, tube-like instrument inserted through the nose or mouth to view the inside of the trachea, air passages, and lungs. Bronchoalveolar lavage washes out the bronchi and alveoli by flushing with a fluid. Bronchoscopy with bronchoalveolar lavage may make it easier to help determine biomarkers that are more present in some cancers than others that will help determine which individuals have a greater or lesser chance of benefiting from immunotherapy.. ",NCT02937402,Non-Small Cell Lung Carcinoma|Small Cell Lung Carcinoma,,TERMINATED,9.0,Vanderbilt-Ingram Cancer Center,PROCEDURE: Bronchoscopy with Bronchoalveolar Lavage|OTHER: Laboratory Biomarker Analysis,2018,2019
NCT Number: NCT01871454. Study Title: Safety of Pentoxifylline and Vitamin E With Stereotactic Ablative Radiotherapy (SABR) in Non-small Cell Lung Cancers. Sponsor: University of Louisville. Condition or Disease: Non-small Cell Lung Cancers. Intervention or Drug or Treatment: RADIATION: stereotactic ablative radiotherapy (SABR)|DRUG: Pentoxifylline. Phase: PHASE2. Study Status: UNKNOWN. Enrollment: 59.0. Summary: The objective of this prospective phase II protocol is to assess the toxicity and efficacy of pentoxifylline and SABR in the re-treatment of recurrent or new lung cancers. ,NCT01871454,Non-small Cell Lung Cancers,PHASE2,UNKNOWN,59.0,University of Louisville,RADIATION: stereotactic ablative radiotherapy (SABR)|DRUG: Pentoxifylline,2013,2025
"NCT Number: NCT03134534. Study Title: Robot-assisted vs VATS Lobectomy for NSCLC. Sponsor: Ruijin Hospital. Condition or Disease: Pulmonary Neoplasm. Intervention or Drug or Treatment: PROCEDURE: VATS lobectomy|PROCEDURE: RATS lobectomy. Phase: . Study Status: COMPLETED. Enrollment: 320.0. Summary: Robot-assisted thoracoscopic surgery (RATS) was widely used in thoracic surgery, the surgical safety and feasibility of RATS lobectomy for NSCLC has been confirmed. However, the oncological long-term outcomes of RATS lobectomy has not been studied by randomized controlled trial, the purpose of this study is to determine whether RATS lobectomy would be as effective as VATS lobectomy on short-term and long-term outcomes.. ",NCT03134534,Pulmonary Neoplasm,,COMPLETED,320.0,Ruijin Hospital,PROCEDURE: VATS lobectomy|PROCEDURE: RATS lobectomy,2017,2023
"NCT Number: NCT04737382. Study Title: Osimertinib Resistance in Patients With Non-small-cell Lung Carcinoma That Have Progressed.. Sponsor: The Netherlands Cancer Institute. Condition or Disease: Non-small-cell Lung Carcinoma. Intervention or Drug or Treatment: DIAGNOSTIC_TEST: biopsy|DIAGNOSTIC_TEST: ctDAN analysis. Phase: . Study Status: UNKNOWN. Enrollment: 200.0. Summary: Initially, patients with EGFR mutation positive NSCLC respond well to osimertinib, a third generation EGFR tyrosine kinase inhibitor (TKI), but eventually progress. Upon progression multiple resistance mechanisms have been described and new therapeutic strategies are being developed to target these resistance mechanisms. Thorough and complete osimertinib resistance analysis enables optimal treatment decision making and might identify new targets for molecular treatment, thereby potentially improving patient outcome.. ",NCT04737382,Non-small-cell Lung Carcinoma,,UNKNOWN,200.0,The Netherlands Cancer Institute,DIAGNOSTIC_TEST: biopsy|DIAGNOSTIC_TEST: ctDAN analysis,2019,2024
NCT Number: NCT02394548. Study Title: Phase I Trial Of IMRT Using A Contralateral Esophagus Sparing Technique (CEST) In Locally Advanced Lung Cancer. Sponsor: Massachusetts General Hospital. Condition or Disease: Non-small Cell Lung Carcinoma|Small Cell Lung Carcinoma. Intervention or Drug or Treatment: RADIATION: Contralateral Esophageal Sparing Technique (CEST). Phase: . Study Status: COMPLETED. Enrollment: 27.0. Summary: This research study is examining the benefit of a novel radiation planning approach on the likelihood of developing severe esophagitis (irritation and inflammation of the esophagus) during the course of radiation therapy with concurrent chemotherapy which is associated with very painful and difficult swallowing.. ,NCT02394548,Non-small Cell Lung Carcinoma|Small Cell Lung Carcinoma,,COMPLETED,27.0,Massachusetts General Hospital,RADIATION: Contralateral Esophageal Sparing Technique (CEST),2015,2021
"NCT Number: NCT07286149. Study Title: A Clinical Study of MK-1084 With Other Treatments for Non-small Cell Lung Cancer (MK-3475-01F). Sponsor: Merck Sharp & Dohme LLC. Condition or Disease: Lung Neoplasm Malignant. Intervention or Drug or Treatment: DRUG: MK-1084|BIOLOGICAL: Patritumab deruxtecan|BIOLOGICAL: Sacituzumab tirumotecan|BIOLOGICAL: Cetuximab|DRUG: Rescue Medications. Phase: PHASE1|PHASE2. Study Status: RECRUITING. Enrollment: 190.0. Summary: Researchers want to learn if MK-1084, the study medicine, can treat advanced or metastatic non-squamous NSCLC. MK-1084 is a targeted therapy, which is a treatment that works to control how specific types of cancer cells grow and spread. The goals of this study are to learn:
* About the safety of MK-1084 and if people tolerate it when taken with other treatments
* How many people have the cancer respond (get smaller or go away) to the treatments. ",NCT07286149,Lung Neoplasm Malignant,PHASE1|PHASE2,RECRUITING,190.0,Merck Sharp & Dohme LLC,DRUG: MK-1084|BIOLOGICAL: Patritumab deruxtecan|BIOLOGICAL: Sacituzumab tirumotecan|BIOLOGICAL: Cetuximab|DRUG: Rescue Medications,2026,2037
